"","Region","State","stcd","district","urbanindex","grouping","incumbent_party","Winning.party","Total.Population","Percentage.Women","Median.Household.Income","Mean.Household.Income","Median.Age","Percentage.Retirees..65..","Percentage.Bachelors.Degree.in.Population.over.25","Unemployment.Rate..16.and.over.","state_index","region_index"
"100","Northeast","connecticut","CT-02",2,10.38751,"Rural-Exurban",1,1,727411,0.503,88894,120303,42.5,0.204528114,0.223,0.026,28,3
"101","Northeast","new york","NY-13",13,14.69063,"Dense Urban",1,1,770616,0.524,47855,90725,36.8,0.154432298,0.2,0.055,1,3
"102","Northeast","connecticut","CT-05",5,11.2163,"Suburban-Exurban",1,1,734438,0.514,87715,121720,40.8,0.180404609,0.227,0.032,28,3
"103","Northeast","new york","NY-18",18,10.77794,"Suburban-Exurban",1,1,786432,0.502,87124,113651,39.5,0.175149282,0.192,0.025,1,3
"104","Northeast","new york","NY-26",26,12.32544,"Dense Suburban",1,1,770160,0.51,63995,88324,39.4,0.184896645,0.193,0.021,1,3
"105","Northeast","new york","NY-25",25,11.80862,"Dense Suburban",1,1,768169,0.514,67775,96132,39.7,0.190499747,0.215,0.029,1,3
"106","Northeast","new york","NY-15",15,14.65565,"Dense Urban",1,1,727699,0.525,42090,74697,35.5,0.136112596,0.136,0.056,1,3
"107","Northeast","new york","NY-23",23,9.27141,"Mostly Rural",0,0,770357,0.505,66388,94297,43.9,0.217518631,0.171,0.026,1,3
"108","Northeast","pennsylvania","PA-05",5,12.70543,"Urban-Suburban",1,1,768063,0.52,79416,122836,38.7,0.164991674,0.23,0.038,5,3
"109","Northeast","pennsylvania","PA-14",14,9.93512,"Rural-Exurban",0,0,755713,0.501,62622,88772,45.1,0.229679786,0.172,0.029,5,3
"110","Northeast","new york","NY-04",4,13.14159,"Dense Urban",1,0,771912,0.507,131291,164099,40.5,0.182773425,0.232,0.029,1,3
"111","Northeast","new york","NY-19",19,10.01977,"Rural-Exurban",1,0,768600,0.5,67645,92799,42.2,0.213001561,0.185,0.024,1,3
"112","Northeast","pennsylvania","PA-13",13,9.46451,"Mostly Rural",0,0,764692,0.5,64430,87402,43.6,0.218689355,0.138,0.018,5,3
"113","Northeast","new york","NY-01",1,11.83754,"Dense Suburban",0,0,775158,0.509,126171,166414,44,0.20377652,0.245,0.024,1,3
"114","Northeast","pennsylvania","PA-10",10,11.25456,"Suburban-Exurban",0,0,779565,0.507,75032,99193,39.6,0.18180652,0.207,0.023,5,3
"115","Northeast","new york","NY-20",20,11.2734,"Suburban-Exurban",1,1,781546,0.508,79758,111011,40.3,0.186911583,0.232,0.032,1,3
"116","Northeast","new york","NY-24",24,9.59475,"Rural-Exurban",0,0,774173,0.498,66103,85603,42.3,0.205073026,0.16,0.026,1,3
"117","Northeast","new york","NY-02",2,12.21863,"Dense Suburban",0,0,775081,0.497,113994,140582,39.9,0.160596118,0.192,0.027,1,3
"118","Northeast","vermont","VT-01",1,9.05338,"Mostly Rural",1,1,647064,0.504,73991,95179,43.2,0.216094544,0.245,0.018,46,3
"119","Northeast","new york","NY-06",6,14.4845,"Dense Urban",1,1,752577,0.515,73861,104150,42.6,0.198907221,0.23,0.027,1,3
"120","Northeast","pennsylvania","PA-15",15,8.93615,"Mostly Rural",0,0,759208,0.488,60094,80712,42.7,0.211631068,0.143,0.019,5,3
"121","Northeast","pennsylvania","PA-03",3,13.63714,"Dense Urban",1,1,772128,0.529,60400,94159,33.8,0.143344109,0.223,0.05,5,3
"122","Northeast","new york","NY-07",7,14.85414,"Dense Urban",1,1,699930,0.512,88141,137243,34.2,0.113467061,0.303,0.036,1,3
"123","Northeast","new hampshire","NH-02",2,9.63994,"Rural-Exurban",1,1,691308,0.497,88494,119762,43.8,0.208932921,0.239,0.02,37,3
"124","Northeast","pennsylvania","PA-16",16,10.09883,"Rural-Exurban",0,0,761430,0.504,61715,87862,42.9,0.213797723,0.189,0.02,5,3
"125","Northeast","maine","ME-02",2,8.55475,"Mostly Rural",1,1,687642,0.501,59676,81913,46,0.231422746,0.175,0.022,42,3
"126","Northeast","new york","NY-10",10,14.653,"Dense Urban",1,1,706151,0.523,103988,200712,37,0.15408744,0.325,0.033,1,3
"127","Northeast","new york","NY-09",9,14.69678,"Dense Urban",1,1,756507,0.528,71800,105059,36.9,0.165820012,0.234,0.049,1,3
"128","Northeast","new york","NY-08",8,14.51535,"Dense Urban",1,1,754074,0.525,58631,100435,38.1,0.176082188,0.215,0.047,1,3
"129","Northeast","new york","NY-21",21,8.77082,"Mostly Rural",0,0,776361,0.487,66565,85227,42.4,0.207135598,0.155,0.02,1,3
"130","Northeast","new york","NY-16",16,13.2321,"Dense Urban",1,1,756711,0.516,96051,173412,41.2,0.178016442,0.24,0.031,1,3
"131","Northeast","new york","NY-03",3,12.46215,"Dense Suburban",1,0,771208,0.513,129730,181141,44.9,0.214349436,0.293,0.023,1,3
"132","Northeast","pennsylvania","PA-11",11,10.90266,"Suburban-Exurban",0,0,768350,0.505,82321,104833,40.5,0.202161775,0.195,0.019,5,3
"133","Northeast","new hampshire","NH-01",1,10.62228,"Suburban-Exurban",1,1,703923,0.504,91412,122606,42.8,0.195399213,0.253,0.013,37,3
"134","Northeast","new jersey","NJ-08",8,13.9866,"Dense Urban",1,1,765996,0.494,78229,127181,35.4,0.119304801,0.244,0.034,2,3
"135","Northeast","new jersey","NJ-01",1,12.28513,"Dense Suburban",1,1,766706,0.515,82670,111894,39.3,0.170873842,0.222,0.036,2,3
"136","Northeast","new york","NY-17",17,11.44308,"Suburban-Exurban",1,0,771464,0.5,115661,172012,40.2,0.17825848,0.273,0.03,1,3
"137","Northeast","maine","ME-01",1,9.89315,"Rural-Exurban",1,1,697698,0.51,80938,107030,44.3,0.220377585,0.27,0.018,42,3
"138","Northeast","massachusetts","MA-05",5,12.75613,"Urban-Suburban",1,1,776294,0.515,115167,171015,39.5,0.172569928,0.284,0.017,6,3
"139","Northeast","massachusetts","MA-04",4,11.77869,"Dense Suburban",1,1,782122,0.515,110374,165007,40.3,0.166950936,0.255,0.03,6,3
"140","Northeast","massachusetts","MA-06",6,11.83451,"Dense Suburban",1,1,771813,0.511,106226,149868,43.2,0.201604534,0.279,0.021,6,3
"141","Northeast","new york","NY-22",22,10.73647,"Suburban-Exurban",0,0,764843,0.508,68941,93531,40.4,0.194093428,0.197,0.023,1,3
"142","Northeast","pennsylvania","PA-08",8,10.55984,"Suburban-Exurban",1,1,766586,0.501,63172,87863,43.1,0.205812525,0.174,0.033,5,3
"143","Northeast","pennsylvania","PA-12",12,12.1425,"Dense Suburban",0,1,758799,0.507,68078,97284,39.7,0.202726941,0.241,0.03,5,3
"144","Northeast","pennsylvania","PA-06",6,11.35723,"Suburban-Exurban",1,1,771296,0.504,98751,138258,39.9,0.174900427,0.293,0.026,5,3
"145","Northeast","new jersey","NJ-03",3,11.55043,"Dense Suburban",1,1,773328,0.508,106253,143021,43,0.191393561,0.281,0.024,2,3
"146","Northeast","pennsylvania","PA-02",2,13.47543,"Dense Urban",1,1,717771,0.517,53536,80806,36.7,0.153429158,0.179,0.039,5,3
"147","Northeast","pennsylvania","PA-09",9,9.61451,"Rural-Exurban",0,0,760960,0.5,65710,86986,43.2,0.213241169,0.15,0.024,5,3
"148","Northeast","new york","NY-12",12,14.9034,"Dense Urban",1,1,705008,0.519,142104,232024,40.3,0.198956608,0.403,0.029,1,3
"149","Northeast","new jersey","NJ-05",5,12.50314,"Urban-Suburban",1,1,774198,0.506,124761,166989,42.9,0.188491833,0.312,0.029,2,3
"150","Northeast","new jersey","NJ-09",9,13.36543,"Dense Urban",1,1,751224,0.511,77469,111733,38.9,0.162034227,0.215,0.038,2,3
"151","Northeast","new jersey","NJ-06",6,12.33669,"Dense Suburban",1,1,784092,0.501,100440,132663,38,0.15253057,0.254,0.034,2,3
"152","Northeast","new jersey","NJ-12",12,11.95689,"Dense Suburban",1,1,767218,0.508,109146,148551,40.9,0.165942405,0.267,0.037,2,3
"153","Northeast","pennsylvania","PA-07",7,11.4384,"Suburban-Exurban",1,1,774340,0.504,72660,103346,40.9,0.189835215,0.195,0.029,5,3
"154","Northeast","pennsylvania","PA-17",17,11.57211,"Dense Suburban",1,1,752331,0.514,77014,114996,43.7,0.216759644,0.266,0.023,5,3
"155","Northeast","massachusetts","MA-02",2,11.14515,"Suburban-Exurban",1,1,785076,0.505,88327,124258,39.7,0.177210869,0.242,0.031,6,3
"156","Northeast","massachusetts","MA-09",9,10.66888,"Suburban-Exurban",1,1,785636,0.507,94066,135443,47.3,0.246616754,0.251,0.025,6,3
"157","Northeast","new jersey","NJ-10",10,13.49694,"Dense Urban",1,1,746241,0.513,67939,104054,37.9,0.146074794,0.197,0.05,2,3
"158","Northeast","rhode island","RI-01",1,12.00113,"Dense Suburban",1,1,543189,0.514,78966,110258,39.9,0.187036188,0.238,0.029,25,3
"159","Northeast","new jersey","NJ-11",11,12.35098,"Dense Suburban",1,1,779192,0.506,128233,183318,41.4,0.17518147,0.329,0.029,2,3
"160","Northeast","pennsylvania","PA-01",1,11.71746,"Dense Suburban",0,0,760257,0.503,104881,143185,44.2,0.206389418,0.254,0.021,5,3
"161","Northeast","rhode island","RI-02",2,11.521,"Dense Suburban",1,1,550545,0.506,84751,114867,41.2,0.189850058,0.24,0.029,25,3
"162","Northeast","massachusetts","MA-07",7,13.54608,"Dense Urban",1,1,754113,0.512,81795,129758,32.9,0.122880788,0.264,0.038,6,3
"163","Northeast","new york","NY-14",14,14.64697,"Dense Urban",1,1,730392,0.507,61052,91735,37.1,0.155212543,0.181,0.045,1,3
"164","Northeast","new jersey","NJ-04",4,11.69053,"Dense Suburban",0,0,786940,0.514,90090,130419,41.6,0.216282055,0.26,0.027,2,3
"165","Northeast","new jersey","NJ-07",7,11.26173,"Suburban-Exurban",1,0,775400,0.508,131419,184568,44.1,0.187823059,0.326,0.029,2,3
"166","Northeast","new jersey","NJ-02",2,10.52803,"Suburban-Exurban",0,0,791164,0.501,80850,108849,43.1,0.209067905,0.195,0.033,2,3
"167","Northeast","new york","NY-11",11,13.62688,"Dense Urban",0,0,740025,0.51,82517,119276,41,0.181791156,0.203,0.03,1,3
"168","South","alabama","AL-02",2,9.51913,"Rural-Exurban",0,0,723094,0.515,57561,78988,39.1,0.180406697,0.155,0.024,39,1
"169","South","alabama","AL-04",4,9.14366,"Mostly Rural",0,0,727607,0.512,54960,79078,40.8,0.188182632,0.118,0.024,39,1
"170","South","alabama","AL-01",1,10.10553,"Rural-Exurban",0,0,730935,0.515,58781,83458,40.9,0.193123876,0.171,0.029,39,1
"171","South","alabama","AL-03",3,9.46407,"Mostly Rural",0,0,723164,0.514,54047,76517,39.4,0.182316874,0.152,0.027,39,1
"172","South","alabama","AL-06",6,10.51947,"Suburban-Exurban",0,0,710137,0.516,78796,112952,39.8,0.170772682,0.248,0.017,39,1
"173","South","alabama","AL-07",7,10.25422,"Rural-Exurban",1,1,716121,0.527,45784,70138,36.5,0.17216085,0.162,0.034,39,1
"174","South","alabama","AL-05",5,10.27975,"Rural-Exurban",0,0,743238,0.506,73698,101427,40.2,0.172317616,0.221,0.021,39,1
"175","South","georgia","GA-13",13,11.68632,"Dense Suburban",1,1,767394,0.531,71993,89033,36.4,0.115705883,0.193,0.033,19,1
"176","South","arizona","AZ-05",5,12.09759,"Dense Suburban",0,0,835596,0.503,101489,133517,38.3,0.165972551,0.257,0.018,15,1
"177","South","arizona","AZ-09",9,10.70182,"Suburban-Exurban",1,0,851459,0.501,73310,99426,41.5,0.210939106,0.157,0.03,15,1
"178","South","arizona","AZ-02",2,8.78438,"Mostly Rural",1,0,820500,0.494,62015,81524,41.9,0.230145034,0.156,0.027,15,1
"179","South","arizona","AZ-06",6,10.67026,"Suburban-Exurban",0,0,790643,0.504,71152,97110,44.1,0.261196267,0.231,0.024,15,1
"180","South","arizona","AZ-08",8,12.33945,"Dense Suburban",0,0,811500,0.512,79042,104214,42.6,0.232293284,0.201,0.024,15,1
"181","South","arizona","AZ-03",3,12.67575,"Urban-Suburban",1,1,835089,0.495,63913,84482,31,0.0872889,0.121,0.032,15,1
"182","South","arizona","AZ-07",7,11.1681,"Suburban-Exurban",1,1,815141,0.499,52555,70987,34,0.146083929,0.138,0.031,15,1
"183","South","arizona","AZ-01",1,12.05529,"Dense Suburban",1,0,799436,0.507,91562,142247,43.9,0.210979991,0.323,0.021,15,1
"184","South","arizona","AZ-04",4,12.56294,"Urban-Suburban",0,1,799833,0.487,79108,98571,34.6,0.148994853,0.24,0.025,15,1
"185","South","arkansas","AR-04",4,8.73533,"Mostly Rural",0,0,751385,0.501,48035,68641,41,0.198485464,0.12,0.023,40,1
"186","South","arkansas","AR-02",2,10.27967,"Rural-Exurban",0,0,761676,0.521,60134,86830,38.6,0.172123055,0.192,0.027,40,1
"187","South","arkansas","AR-01",1,8.83946,"Mostly Rural",0,0,747672,0.501,50233,76033,41.1,0.193695899,0.112,0.029,40,1
"188","South","arkansas","AR-03",3,10.41405,"Rural-Exurban",0,0,784904,0.501,66414,91554,35.6,0.144960403,0.205,0.024,40,1
